loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),avAudioRecorderPeakPower(dB),avAudioRecorderAveragePower(dB),label(N)
2019-12-21 12:08:32.882 -0500,1,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948111.997439,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.27138239218119,4.808595873736502,-9999,1576948112.832282,0.6556339263916016,37.17333221435547,-67.65377807617188,17.19277381896973,23.06723022460938,21.69342613220215,150761.046967625,-0.0614166259765625,-0.14739990234375,-0.9837188720703125,150761.022053625,-0.003191798459738493,-0.01201218832284212,0.002688460983335972,150761.044745625,21.08154296875,-81.44306945800781,-14.71937561035156,150761.002140625,0.4077276430123959,-0.05743096175574502,0.1472236240491662,-0.0001015819143503904,0.0007328260689973831,-0.002465929370373487,-0.003490500152111053,0.003309160470962524,0.003335177898406982,XArbitraryCorrectedZVertical,0.0777896878335272,-0.0131573643956767,0.1997552397589438,0.976664574673017,-0.05677846074104309,-0.1466923654079437,-0.9875512719154358,0.7534694671630859,37.23318481445312,-67.68485260009766,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150757.86338,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
2019-12-21 12:08:32.942 -0500,2,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948111.997439,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.27138239218119,4.808595873736502,-9999,1576948112.931895,0.6494827270507812,37.30104827880859,-67.857666015625,17.19560432434082,23.07006072998047,21.67328453063965,150761.106706625,-0.0606536865234375,-0.14752197265625,-0.9854888916015625,150761.081793625,-0.004640824627131224,-0.01261938828974962,0.003174487967044115,150761.104945625,21.09066772460938,-81.65681457519531,-14.66545104980469,150761.061880625,0.4077330308494249,-0.05737603229355612,0.1472349916123055,0.0009304096456617117,0.005130750127136707,5.429238080978394e-05,-0.001043550670146942,0.002115234732627869,0.001536130905151367,XArbitraryCorrectedZVertical,0.07778979203886968,-0.01312917026274043,0.1997597823772975,0.9766639091868159,-0.05672411620616913,-0.1467036008834839,-0.9875527620315552,0.7567691802978516,37.24578857421875,-67.8778076171875,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150757.86338,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
2019-12-21 12:08:33.002 -0500,3,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948111.997439,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.27138239218119,4.808595873736502,-9999,1576948112.9816,0.8108005523681641,37.21266937255859,-67.77025604248047,17.19549751281738,23.06995391845703,21.68440818786621,150761.166446625,-0.06036376953125,-0.1464080810546875,-0.9860382080078125,150761.141533625,-0.004113784991204739,-0.01068486832082272,0.004546815063804388,150761.165151625,21.19326782226562,-81.51441955566406,-14.7401123046875,150761.121620625,0.4077191942796248,-0.05741622707961593,0.1472029078557022,0.0002145881298929453,-0.003578423522412777,0.002464571502059698,-0.002253968268632889,0.003181368112564087,0.002713561058044434,XArbitraryCorrectedZVertical,0.07777805925969766,-0.01315260813552023,0.19975214495305,0.9766661221941255,-0.05676408112049103,-0.146671861410141,-0.9875551462173462,0.6534309387207031,37.34662628173828,-67.88909912109375,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150757.86338,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
2019-12-21 12:08:33.061 -0500,4,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948111.997439,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.27138239218119,4.808595873736502,-9999,1576948113.031378,0.6920757293701172,37.25955963134766,-67.92227172851562,17.19391441345215,23.0683708190918,21.67691421508789,150761.226186625,-0.0596923828125,-0.1477203369140625,-0.9852142333984375,150761.201273625,-0.003778226673603058,-0.01034211926162243,0.003578489413484931,150761.225355625,21.1915283203125,-81.47671508789062,-14.85858154296875,150761.181359625,0.4077327766408593,-0.05743366860881338,0.14719598905177,-8.195219561457634e-05,-0.000710989348590374,0.002119716722518206,-0.003197632730007172,0.003555849194526672,0.002774596214294434,XArbitraryCorrectedZVertical,0.07777651255754142,-0.01316130304424607,0.1997582427869609,0.9766649097807837,-0.05678136646747589,-0.146665021777153,-0.987555205821991,0.7083225250244141,37.21299743652344,-67.93943786621094,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150757.86338,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
2019-12-21 12:08:33.121 -0500,5,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948111.997439,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.27138239218119,4.808595873736502,-9999,1576948113.081234,0.7539291381835938,37.31282806396484,-68.09572601318359,17.1949291229248,23.06938552856445,21.66632843017578,150761.285926625,-0.0598602294921875,-0.146759033203125,-0.985076904296875,150761.261012625,-0.005085838492959738,-0.009016398340463638,0.003571032779291272,150761.285562625,21.16116333007812,-81.46121215820312,-14.72772216796875,150761.241099625,0.4077147420540423,-0.05741060293447724,0.147145529014144,-0.0006604292429983616,0.003259473480284214,0.001088215503841639,-0.00201503187417984,0.002162069082260132,0.003012359142303467,XArbitraryCorrectedZVertical,0.0777494756898692,-0.01315588349935382,0.1997514268717115,0.9766684649375452,-0.05675901100039482,-0.1466151028871536,-0.9875639081001282,0.7539291381835938,37.31282806396484,-68.09572601318359,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150757.86338,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
2019-12-21 12:08:33.180 -0500,6,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948112.9974,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.271984445875969,4.808186229622826,-9999,1576948113.130667,0.6431026458740234,37.38285827636719,-67.88970184326172,17.19577789306641,23.07023429870605,21.66362380981445,150761.345665625,-0.061248779296875,-0.146087646484375,-0.984954833984375,150761.320752625,-0.007365504745393991,-0.007291202433407307,0.003944674041122198,150761.345768625,21.1788330078125,-81.38674926757812,-14.60481262207031,150761.300839625,0.4077042479728434,-0.05743263975332837,0.1470393384283853,0.0002341440413147211,-0.001838519237935543,-0.0001520849764347076,-0.002449650317430496,0.003595888614654541,0.002935409545898438,XArbitraryCorrectedZVertical,0.07769979403744265,-0.01317787827460509,0.1997477191526695,0.9766729075890128,-0.05678166821599007,-0.1465100646018982,-0.9875781536102295,0.7590179443359375,37.33018493652344,-67.76895904541016,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150757.86338,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
2019-12-21 12:08:33.240 -0500,7,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948112.9974,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.271984445875969,4.808186229622826,-9999,1576948113.230321,0.6668453216552734,37.3880615234375,-67.61492919921875,17.19682884216309,23.07128524780273,21.66810607910156,150761.405405625,-0.06036376953125,-0.1482086181640625,-0.9822998046875,150761.380492625,-0.002365153282880783,-0.008788963779807091,0.00464535178616643,150761.405967625,21.20281982421875,-81.39817810058594,-14.55076599121094,150761.360579625,0.4076915448262231,-0.05746596348520359,0.147013458178447,-0.0004127316642552614,-0.001954806968569756,0.001152712386101484,-0.00323978066444397,0.002165913581848145,0.00235748291015625,XArbitraryCorrectedZVertical,0.07769041093064895,-0.0131972831955902,0.1997407759947958,0.9766748147632017,-0.05681479349732399,-0.1464844644069672,-0.9875800609588623,0.7333526611328125,37.34341430664062,-67.88397979736328,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150757.86338,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
2019-12-21 12:08:33.300 -0500,8,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948112.9974,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.271984445875969,4.808186229622826,-9999,1576948113.28009,0.7676906585693359,37.14913177490234,-68.03133392333984,17.19636344909668,23.07081985473633,21.68862915039062,150761.465145625,-0.060760498046875,-0.1466064453125,-0.9847259521484375,150761.440231625,-0.002073803450912237,-0.009350358508527279,0.004093811381608248,150761.466167625,21.17825317382812,-81.48458862304688,-14.73747253417969,150761.420318625,0.4076887116494644,-0.05748898457091275,0.1470888142202005,0.0006523975171148777,-0.002348504029214382,0.001694934442639351,-0.001752369105815887,0.003355950117111206,0.001780331134796143,XArbitraryCorrectedZVertical,0.07772945241189487,-0.01320095503335204,0.1997368678691896,0.9766725295579615,-0.05683689564466476,-0.1465590000152588,-0.9875677227973938,0.7234458923339844,37.33734130859375,-67.66188812255859,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150758.865942,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
2019-12-21 12:08:33.360 -0500,9,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948112.9974,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.271984445875969,4.808186229622826,-9999,1576948113.330002,0.7681369781494141,37.28359985351562,-67.896484375,17.19462776184082,23.06908416748047,21.67419815063477,150761.524884625,-0.0600433349609375,-0.145843505859375,-0.9846649169921875,150761.499971625,-0.004504204262048006,-0.009504023008048534,0.004687696229666471,150761.526372625,21.24383544921875,-81.56723022460938,-14.46275329589844,150761.480058625,0.4077108614076728,-0.05748410867140943,0.1470976720013568,-0.001593450084328651,-0.002365261316299438,-0.0003150482662022114,-0.003145918250083923,0.003380134701728821,0.003244161605834961,XArbitraryCorrectedZVertical,0.07773343637800395,-0.01319680950473848,0.1997476901360821,0.9766700189069228,-0.05683200433850288,-0.1465677618980408,-0.9875667095184326,0.8287544250488281,37.32254791259766,-67.70230865478516,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150758.865942,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
2019-12-21 12:08:33.419 -0500,10,18636115-087A-4456-A66A-A2DDE23C0881,my_iOS_device,1576948112.9974,26.22083655747067,-81.81210301850518,2.345479,-1,-1,3.271984445875969,4.808186229622826,-9999,1576948113.37976,0.7429714202880859,37.28928375244141,-67.86521911621094,17.19242477416992,23.06688117980957,21.67463111877441,150761.584624625,-0.0614471435546875,-0.1459808349609375,-0.985382080078125,150761.559711625,-0.0006809702608734369,-0.008873386308550835,0.005470399279147387,150761.586573625,21.15481567382812,-81.45492553710938,-14.84709167480469,150761.539798625,0.4077597449460076,-0.05752269847302904,0.1470630729128873,-0.001443170243874192,0.000536920502781868,-0.0001523159444332123,-0.001367192715406418,0.00253644585609436,0.003033459186553955,XArbitraryCorrectedZVertical,0.07772073778732813,-0.01321728059276556,0.1997708164631948,0.9766659567807697,-0.05687040463089943,-0.1465335488319397,-0.9875695705413818,0.7429714202880859,37.28928375244141,-67.86521911621094,2,150739.3475705417,stationary,2,2019-12-21 12:08:11.206 -0500,null,0,0,0,0,0,0,0,null,150758.865942,0,1.24189,101.5696,192.168.1.94,0.0.0.0,3,1,0.91,-120,-120,0
